,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,vont,will
23,pendant,while
24,revoir,meet again
25,place,square
26,parle,speak
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
31,pourrais,could
32,affaire,case
33,donner,give
34,type,type
35,leurs,their
36,donné,given
37,train,train
38,endroit,place
39,yeux,eyes
40,façon,way
41,écoute,listen
42,dont,whose
43,trouve,find
44,premier,first
45,perdu,lost
46,main,hand
47,première,first
48,côté,side
49,pouvoir,power
50,vieux,old
51,sois,be
52,tiens,here
53,matin,morning
54,tellement,so much
55,enfant,child
56,point,point
57,venu,came
58,suite,after
59,pardon,sorry
60,venez,come
61,devant,in front of
62,vers,towards
63,minutes,minutes
64,demandé,request
65,chambre,bedroom
66,mis,placed
67,belle,beautiful
68,aimerais,would like to
69,aujourd'hui,today
70,mari,husband
71,cause,cause
72,enfin,finally
73,espère,hope
74,eau,water
75,attendez,Wait
76,parti,left
77,nouvelle,new
78,boulot,job
79,arrêter,Stop
80,terre,Earth
81,compte,account
82,donne,given
83,loin,far
84,fin,end
85,croire,believe
86,chérie,sweetheart
87,gros,large
88,plutôt,rather
89,aura,will have
90,filles,girls
91,jouer,to play
92,bureau,office
